,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
208,Brazil,2019,9/28/2019,Flamengo RJ,Sao Paulo,0,0,-1,1.68,3.61,6.09,29,9,2.26648453608247,20
209,Brazil,2019,9/29/2019,Corinthians,Vasco,1,0,1,1.77,3.47,5.46,14,7,2.12163493840985,7
210,Brazil,2019,9/29/2019,Fluminense,Gremio,2,1,1,2.3,3.31,3.36,10,12,1.66740629685157,-2
211,Brazil,2019,9/29/2019,Internacional,Palmeiras,1,1,-1,3.25,3.03,2.52,19,12,1.37578378378378,7
212,Brazil,2019,9/29/2019,Santos,CSA,2,0,1,1.2,6.85,15.57,22,4,4.7571141837645,18
213,Brazil,2019,9/29/2019,Athletico-PR,Chapecoense-SC,1,1,-1,1.27,5.95,11.32,15,8,3.9000579038795604,7
214,Brazil,2019,9/29/2019,Atletico-MG,Ceara,2,1,1,1.58,3.94,6.47,16,6,2.4487800192123,10
215,Brazil,2019,10/1/2019,Avai,Bahia,0,2,-1,3.19,2.98,2.59,6,9,1.3856732495511699,-3
216,Brazil,2019,10/1/2019,Fortaleza,Botafogo RJ,1,0,1,1.81,3.67,4.74,10,9,2.0684661117717003,1
217,Brazil,2019,10/1/2019,Goias,Cruzeiro,1,0,1,3.09,3.02,2.64,15,8,1.4086219081272098,7
218,Brazil,2019,10/2/2019,Atletico-MG,Vasco,1,2,-1,1.81,3.5,5.09,18,7,2.07392316647264,11
219,Brazil,2019,10/2/2019,Chapecoense-SC,Corinthians,0,1,-1,4.22,3.1,2.1,9,9,1.25192307692308,0
220,Brazil,2019,10/5/2019,Sao Paulo,Fortaleza,2,1,1,1.47,4.3,7.9,14,13,2.7844262295082003,1
221,Brazil,2019,10/5/2019,Vasco,Santos,0,1,-1,2.58,3.22,2.97,12,9,1.54497576736672,3
222,Brazil,2019,10/5/2019,Bahia,Athletico-PR,1,2,-1,2.19,3.31,3.61,16,15,1.7267485549132902,1
223,Brazil,2019,10/5/2019,Gremio,Corinthians,0,0,-1,1.76,3.39,5.76,24,10,2.1340327868852498,14
224,Brazil,2019,10/6/2019,Cruzeiro,Internacional,1,1,-1,2.66,2.98,3.09,9,8,1.5170016474464598,1
225,Brazil,2019,10/6/2019,Chapecoense-SC,Flamengo RJ,0,1,-1,6.19,3.92,1.61,9,18,1.14126582278481,-9
226,Brazil,2019,10/6/2019,Botafogo RJ,Fluminense,0,1,-1,3.03,3.14,2.59,10,12,1.4193019197207701,-2
227,Brazil,2019,10/6/2019,Ceara,Goias,0,1,-1,1.61,3.86,6.25,15,6,2.3862512363996,9
228,Brazil,2019,10/6/2019,Palmeiras,Atletico-MG,1,1,-1,1.41,4.44,9.58,25,8,3.03389443651926,17
229,Brazil,2019,10/6/2019,CSA,Avai,3,1,1,2.54,2.9,3.38,7,6,1.56082802547771,1
230,Brazil,2019,10/9/2019,Botafogo RJ,Goias,3,1,1,2.14,3.33,3.74,10,7,1.7615558698727,3
231,Brazil,2019,10/9/2019,CSA,Internacional,1,0,1,5.3,3.34,1.83,10,9,1.1822437137330801,1
232,Brazil,2019,10/10/2019,Fortaleza,Chapecoense-SC,2,0,1,1.63,3.97,5.77,11,9,2.35183778234086,2
233,Brazil,2019,10/10/2019,Bahia,Sao Paulo,0,0,-1,2.56,2.93,3.29,17,9,1.5497909967845702,8
234,Brazil,2019,10/10/2019,Gremio,Ceara,2,1,1,1.68,3.54,6.17,24,7,2.24941297631308,17
235,Brazil,2019,10/10/2019,Cruzeiro,Fluminense,0,0,-1,1.84,3.48,4.86,10,13,2.02791366906475,-3
236,Brazil,2019,10/10/2019,Santos,Palmeiras,2,0,1,2.84,3.02,2.85,24,13,1.4662691652470201,11
237,Brazil,2019,10/10/2019,Avai,Vasco,0,0,-1,3.22,2.88,2.65,6,9,1.38010849909584,-3
238,Brazil,2019,10/10/2019,Corinthians,Athletico-PR,2,2,-1,1.95,3.29,4.61,15,17,1.9198607594936699,-2
239,Brazil,2019,10/11/2019,Flamengo RJ,Atletico-MG,3,1,1,1.5,4.1,7.64,29,9,2.66814310051107,20
240,Brazil,2019,10/12/2019,Goias,CSA,1,0,1,1.65,3.84,5.86,16,4,2.31983505154639,12
241,Brazil,2019,10/12/2019,Fluminense,Bahia,2,0,1,2.12,3.19,3.98,12,11,1.7707391910739199,1
242,Brazil,2019,10/13/2019,Palmeiras,Botafogo RJ,1,0,1,1.24,6.0,13.97,26,9,4.19729594391588,17
243,Brazil,2019,10/13/2019,Athletico-PR,Flamengo RJ,0,2,-1,3.01,3.28,2.51,16,19,1.42189982728843,-3
244,Brazil,2019,10/13/2019,Ceara,Avai,1,0,1,1.54,3.96,7.31,15,7,2.5685536823425,8
245,Brazil,2019,10/13/2019,Internacional,Santos,0,0,-1,2.19,3.23,3.71,20,10,1.7267002881844398,10
246,Brazil,2019,10/13/2019,Vasco,Fortaleza,1,0,1,1.55,4.16,6.57,12,14,2.5471761416588996,-2
247,Brazil,2019,10/13/2019,Sao Paulo,Corinthians,1,0,1,2.25,2.89,4.1,16,10,1.69513590844063,6
248,Brazil,2019,10/13/2019,Atletico-MG,Gremio,1,4,-1,2.45,3.4,3.01,19,13,1.59656786271451,6
249,Brazil,2019,10/13/2019,Chapecoense-SC,Cruzeiro,1,1,-1,4.21,3.19,2.07,9,8,1.25538022813688,1
250,Brazil,2019,10/16/2019,CSA,Atletico-MG,2,2,-1,3.85,3.35,2.1,11,10,1.29082568807339,1
251,Brazil,2019,10/16/2019,Gremio,Bahia,0,1,-1,1.51,4.23,7.11,26,11,2.65214285714286,15
252,Brazil,2019,10/17/2019,Fortaleza,Flamengo RJ,1,2,-1,6.19,3.98,1.6,13,21,1.1412186379928302,-8
253,Brazil,2019,10/17/2019,Cruzeiro,Sao Paulo,1,0,-1,2.66,2.98,3.09,10,9,1.5170016474464598,1
254,Brazil,2019,10/17/2019,Palmeiras,Chapecoense-SC,1,0,-1,1.16,7.49,21.35,27,9,5.544781553398059,18
255,Brazil,2019,10/17/2019,Goias,Corinthians,2,2,-1,2.93,2.97,2.81,17,10,1.44389273356401,7
256,Brazil,2019,10/17/2019,Vasco,Botafogo RJ,2,1,-1,1.74,3.61,5.43,13,9,2.16839601769911,4
257,Brazil,2019,10/17/2019,Avai,Internacional,0,2,-1,4.02,3.02,2.2,6,9,1.2727969348658998,-3
258,Brazil,2019,10/17/2019,Santos,Ceara,2,1,-1,1.51,4.07,7.54,26,8,2.6432213608957795,18
259,Brazil,2019,10/18/2019,Fluminense,Athletico-PR,1,2,-1,2.54,3.24,3.01,14,19,1.560384,-5
260,Brazil,2019,10/19/2019,Fortaleza,Gremio,2,1,1,2.79,3.0,2.91,14,17,1.47715736040609,-3
261,Brazil,2019,10/19/2019,Corinthians,Cruzeiro,1,2,-1,2.37,3.03,3.54,17,9,1.6326027397260299,8
262,Brazil,2019,10/20/2019,Atletico-MG,Santos,2,0,1,2.37,3.42,3.12,20,10,1.63155963302752,10
263,Brazil,2019,10/20/2019,Internacional,Vasco,0,1,-1,1.81,3.45,5.2,20,9,2.07398843930636,11
264,Brazil,2019,10/20/2019,Sao Paulo,Avai,1,0,1,1.38,4.66,9.79,17,7,3.15719031141868,10
265,Brazil,2019,10/20/2019,Flamengo RJ,Fluminense,2,0,1,1.47,4.36,7.72,32,13,2.78635761589404,19
266,Brazil,2019,10/20/2019,Athletico-PR,Palmeiras,1,1,-1,2.83,3.23,2.69,16,13,1.46768581081081,3
267,Brazil,2019,10/20/2019,Chapecoense-SC,Goias,2,2,-1,1.99,3.32,4.35,10,8,1.8829204693611499,2
268,Brazil,2019,10/21/2019,Bahia,Ceara,1,2,-1,1.69,3.62,5.85,17,9,2.2362196409714903,8
269,Brazil,2019,10/22/2019,Botafogo RJ,CSA,2,1,1,1.71,3.55,5.8,13,4,2.2021390374331498,9
270,Brazil,2019,10/26/2019,Ceara,Vasco,1,1,-1,2.02,3.42,4.08,16,10,1.86048,6
271,Brazil,2019,10/26/2019,Corinthians,Santos,0,0,-1,2.79,3.03,2.88,18,10,1.47654822335025,8
272,Brazil,2019,10/26/2019,Bahia,Internacional,2,3,-1,2.61,2.95,3.21,18,11,1.53725649350649,7
273,Brazil,2019,10/26/2019,Fluminense,Chapecoense-SC,1,1,-1,1.42,4.59,8.51,15,9,2.9817480916030497,6
274,Brazil,2019,10/27/2019,Cruzeiro,Fortaleza,1,1,-1,1.64,3.66,6.4,11,14,2.32842942345924,-3
275,Brazil,2019,10/27/2019,Athletico-PR,Goias,4,1,1,1.3,5.7,10.41,17,10,3.68324022346369,7
276,Brazil,2019,10/27/2019,Gremio,Botafogo RJ,3,0,1,1.3,5.61,10.59,26,10,3.66727777777778,16
277,Brazil,2019,10/27/2019,Sao Paulo,Atletico-MG,2,0,1,1.87,3.45,4.74,18,12,1.9967032967033003,6
278,Brazil,2019,10/27/2019,Avai,Palmeiras,1,2,-1,6.82,3.65,1.62,6,14,1.12201138519924,-8
279,Brazil,2019,10/27/2019,Flamengo RJ,CSA,1,0,1,1.08,12.25,29.58,34,5,8.6625627540043,29
280,Brazil,2019,10/30/2019,Atletico-MG,Chapecoense-SC,0,2,-1,1.3,5.97,9.38,22,10,3.6481172638436496,12
281,Brazil,2019,10/30/2019,Avai,Fortaleza,1,3,-1,2.64,3.03,3.06,7,15,1.52246305418719,-8
282,Brazil,2019,10/30/2019,Palmeiras,Sao Paulo,3,0,1,1.8,3.32,5.57,28,9,2.08013498312711,19
283,Brazil,2019,10/31/2019,Ceara,Fluminense,2,0,1,1.98,3.36,4.32,17,13,1.89,4
284,Brazil,2019,10/31/2019,CSA,Corinthians,2,1,1,4.15,2.98,2.18,13,12,1.2589922480620201,1
285,Brazil,2019,10/31/2019,Vasco,Gremio,1,3,-1,2.75,2.97,2.99,15,18,1.4899832214765099,-3
286,Brazil,2019,10/31/2019,Santos,Bahia,1,0,1,1.57,4.05,6.42,28,12,2.48338108882521,16
287,Brazil,2019,10/31/2019,Goias,Flamengo RJ,2,2,-1,7.24,4.8,1.44,19,23,1.10769230769231,-4
288,Brazil,2019,11/1/2019,Botafogo RJ,Cruzeiro,0,2,-1,3.45,3.01,2.42,15,11,1.34147329650092,4
289,Brazil,2019,11/1/2019,Internacional,Athletico-PR,1,1,-1,1.84,3.67,4.54,20,21,2.02945188794153,-1
290,Brazil,2019,11/2/2019,Fortaleza,Atletico-MG,2,2,-1,2.71,3.13,2.89,16,12,1.50260797342193,4
291,Brazil,2019,11/2/2019,Fluminense,Vasco,0,0,-1,2.34,3.15,3.45,16,11,1.6465909090909099,5
292,Brazil,2019,11/2/2019,Palmeiras,Ceara,1,0,1,1.25,5.7,14.64,31,11,4.10265486725664,20
293,Brazil,2019,11/3/2019,Chapecoense-SC,Sao Paulo,0,3,-1,4.76,3.33,1.91,12,9,1.2137977099236599,3
294,Brazil,2019,11/3/2019,Flamengo RJ,Corinthians,4,1,1,1.47,4.23,8.14,35,13,2.78352465642684,22
295,Brazil,2019,11/3/2019,Athletico-PR,CSA,1,0,1,1.25,6.03,12.75,21,5,4.09384984025559,16
296,Brazil,2019,11/3/2019,Gremio,Internacional,2,0,1,2.05,3.14,4.4,29,14,1.8323607427055701,15
297,Brazil,2019,11/3/2019,Cruzeiro,Bahia,1,1,-1,1.8,3.44,5.27,12,12,2.08137772675086,0
298,Brazil,2019,11/3/2019,Santos,Botafogo RJ,4,1,1,1.31,5.44,10.69,29,10,3.6053068815871097,19
299,Brazil,2019,11/3/2019,Goias,Avai,2,0,1,1.61,3.88,6.17,21,7,2.3820497512437795,14
300,Brazil,2019,11/6/2019,Corinthians,Fortaleza,3,2,1,1.71,3.52,5.91,18,18,2.206065747614,0
301,Brazil,2019,11/6/2019,Atletico-MG,Goias,2,0,1,1.44,4.51,7.87,22,11,2.86701938610662,11
302,Brazil,2019,11/7/2019,Avai,Santos,1,2,-1,6.7,3.93,1.57,8,10,1.1218363636363602,-2
303,Brazil,2019,11/7/2019,Athletico-PR,Cruzeiro,0,0,-1,1.74,3.68,5.25,22,13,2.16349384098544,9
304,Brazil,2019,11/7/2019,Bahia,Chapecoense-SC,1,1,-1,1.52,4.13,7.24,20,12,2.6298328935796,8
305,Brazil,2019,11/7/2019,Vasco,Palmeiras,1,2,-1,3.06,3.0,2.67,16,16,1.41269841269841,0
306,Brazil,2019,11/7/2019,Ceara,Internacional,2,0,1,2.35,3.2,3.36,19,14,1.6390243902439,5
307,Brazil,2019,11/7/2019,Sao Paulo,Fluminense,0,2,-1,1.72,3.61,5.57,20,13,2.19038126361656,7
308,Brazil,2019,11/7/2019,Botafogo RJ,Flamengo RJ,0,1,-1,7.6,4.78,1.43,15,25,1.1007085346215801,-10
309,Brazil,2019,11/8/2019,Gremio,CSA,2,1,1,1.15,8.06,20.64,31,5,5.796459930313589,26
310,Brazil,2019,11/9/2019,Goias,Santos,0,3,-1,4.06,3.42,2.02,23,12,1.26992647058824,11
311,Brazil,2019,11/9/2019,Palmeiras,Corinthians,1,1,-1,1.58,3.69,7.35,32,14,2.4566576086956498,18
312,Brazil,2019,11/10/2019,Cruzeiro,Atletico-MG,0,0,-1,2.36,3.03,3.54,13,14,1.6326027397260299,-1
313,Brazil,2019,11/10/2019,Internacional,Fluminense,2,1,1,1.78,3.58,5.14,21,15,2.1102293577981697,6
314,Brazil,2019,11/10/2019,Sao Paulo,Athletico-PR,0,1,-1,1.71,3.64,5.59,20,22,2.20450704225352,-2
315,Brazil,2019,11/10/2019,Flamengo RJ,Bahia,3,1,1,1.29,5.45,12.0,39,13,3.74785100286533,26
316,Brazil,2019,11/10/2019,Chapecoense-SC,Gremio,0,1,-1,6.36,3.99,1.58,12,21,1.13181328545781,-9
317,Brazil,2019,11/10/2019,CSA,Vasco,0,3,-1,3.05,3.03,2.65,15,11,1.4136443661971798,4
318,Brazil,2019,11/10/2019,Fortaleza,Ceara,1,0,1,3.07,3.08,2.6,18,11,1.40985915492958,7
319,Brazil,2019,11/11/2019,Botafogo RJ,Avai,2,0,1,1.72,3.73,5.28,15,7,2.18583795782464,8
320,Brazil,2019,11/14/2019,Flamengo RJ,Vasco,4,4,-1,1.38,4.85,8.53,42,14,3.09196562032885,28
321,Brazil,2019,11/16/2019,Santos,Sao Paulo,1,1,-1,2.02,3.19,4.34,33,12,1.8385922974767601,21
322,Brazil,2019,11/16/2019,Fluminense,Atletico-MG,1,1,-1,2.25,3.39,3.33,16,14,1.6798660714285703,2
323,Brazil,2019,11/17/2019,Bahia,Palmeiras,1,1,-1,4.72,3.32,1.9,21,18,1.20842911877395,3
324,Brazil,2019,11/17/2019,Gremio,Flamengo RJ,0,1,-1,1.97,3.6,3.97,33,26,1.88797886393659,7
325,Brazil,2019,11/17/2019,Athletico-PR,Botafogo RJ,1,0,1,1.38,4.69,9.05,22,11,3.08911935953421,11
326,Brazil,2019,11/17/2019,Chapecoense-SC,Ceara,1,0,1,3.18,3.2,2.42,12,11,1.3779359430605,1
327,Brazil,2019,11/17/2019,Corinthians,Internacional,0,0,-1,2.51,3.03,3.22,21,14,1.561056,7
328,Brazil,2019,11/17/2019,Fortaleza,CSA,3,0,1,1.64,3.62,6.35,19,6,2.30561685055165,13
329,Brazil,2019,11/18/2019,Vasco,Goias,1,1,-1,1.52,4.06,7.14,17,11,2.58825,6
330,Brazil,2019,11/18/2019,Cruzeiro,Avai,0,0,-1,1.29,5.08,12.94,13,7,3.6479023307436202,6
331,Brazil,2019,11/24/2019,Santos,Cruzeiro,4,1,1,1.87,3.57,4.44,34,13,1.9788764044943798,21
332,Brazil,2019,11/24/2019,Atletico-MG,Athletico-PR,0,1,-1,2.0,3.66,3.77,24,23,1.85709286675639,1
333,Brazil,2019,11/24/2019,Goias,Bahia,4,3,1,2.5,3.24,3.03,23,14,1.56574162679426,9
334,Brazil,2019,11/24/2019,Palmeiras,Gremio,1,2,-1,2.19,3.14,3.77,33,22,1.71314037626628,11
335,Brazil,2019,11/24/2019,Botafogo RJ,Corinthians,1,0,1,3.13,2.92,2.64,17,15,1.38647482014388,2
336,Brazil,2019,11/24/2019,Avai,Chapecoense-SC,0,1,-1,2.42,3.17,3.21,9,13,1.59493730407524,-4
337,Brazil,2019,11/24/2019,Ceara,Sao Paulo,1,1,-1,2.62,3.06,3.02,21,13,1.51993421052632,8
338,Brazil,2019,11/24/2019,Internacional,Fortaleza,2,2,-1,1.39,4.71,8.46,23,20,3.0255580865603595,3
339,Brazil,2019,11/25/2019,CSA,Fluminense,0,1,-1,3.88,3.36,2.06,15,16,1.2770479704797,-1
340,Brazil,2019,11/27/2019,Chapecoense-SC,Botafogo RJ,0,1,-1,2.57,3.02,3.13,13,11,1.5370081300813,2
341,Brazil,2019,11/27/2019,Internacional,Goias,1,2,-1,1.39,4.79,8.47,25,12,3.0596757164404202,13
342,Brazil,2019,11/28/2019,Bahia,Atletico-MG,1,1,-1,2.56,3.27,2.91,22,15,1.5397572815534,7
343,Brazil,2019,11/28/2019,Athletico-PR,Gremio,2,0,1,2.61,3.18,2.92,23,24,1.5222295081967199,-1
344,Brazil,2019,11/28/2019,Corinthians,Avai,3,0,1,1.39,4.29,10.27,21,7,3.0259821428571403,14
345,Brazil,2019,11/28/2019,Flamengo RJ,Ceara,4,1,1,1.42,4.75,7.55,46,11,2.91565040650406,35
346,Brazil,2019,11/28/2019,Fluminense,Palmeiras,1,0,1,2.66,3.11,2.93,17,19,1.5086589403973503,-2
347,Brazil,2019,11/28/2019,Fortaleza,Santos,2,1,1,3.25,3.31,2.32,22,15,1.36397868561279,7
348,Brazil,2019,11/28/2019,Sao Paulo,Vasco,1,0,1,1.65,3.63,6.11,20,18,2.2771355236139597,2
349,Brazil,2019,11/29/2019,Cruzeiro,CSA,0,1,-1,1.33,4.87,10.8,13,6,3.3564773452456897,7
350,Brazil,2019,11/30/2019,Botafogo RJ,Internacional,0,1,-1,3.9,3.16,2.14,18,14,1.2759245283018898,4
351,Brazil,2019,11/30/2019,Ceara,Athletico-PR,1,1,-1,2.06,3.27,4.03,22,24,1.8052191780821898,-2
352,Brazil,2019,12/1/2019,Avai,Fluminense,1,1,-1,6.29,4.01,1.57,9,17,1.12826164874552,-8
353,Brazil,2019,12/1/2019,Goias,Fortaleza,1,2,-1,2.01,3.58,3.82,27,22,1.8480540540540502,5
354,Brazil,2019,12/1/2019,Palmeiras,Flamengo RJ,1,3,-1,2.39,3.49,2.98,34,27,1.60744976816074,7
355,Brazil,2019,12/1/2019,Atletico-MG,Corinthians,2,1,1,2.01,3.32,4.14,24,15,1.8424664879356598,9
356,Brazil,2019,12/1/2019,CSA,Bahia,1,2,-1,3.18,3.22,2.41,15,17,1.37836589698046,-2
357,Brazil,2019,12/1/2019,Gremio,Sao Paulo,3,0,1,1.8,3.37,5.26,33,14,2.05402085747393,19
358,Brazil,2019,12/1/2019,Santos,Chapecoense-SC,2,0,1,1.22,6.28,14.46,38,14,4.37843780135005,24
359,Brazil,2019,12/2/2019,Vasco,Cruzeiro,1,0,1,2.47,3.11,3.19,18,14,1.5747460317460302,4
360,Brazil,2019,12/4/2019,Athletico-PR,Santos,1,0,1,2.23,3.44,3.31,25,16,1.6868740740740702,9
361,Brazil,2019,12/4/2019,Atletico-MG,Botafogo RJ,2,0,1,1.42,4.39,8.73,26,12,2.92108993902439,14
362,Brazil,2019,12/4/2019,Ceara,Corinthians,0,1,-1,2.07,3.08,4.28,23,16,1.79108695652174,7
363,Brazil,2019,12/5/2019,Chapecoense-SC,CSA,3,0,1,2.12,3.23,3.87,13,7,1.7605774647887298,6
364,Brazil,2019,12/5/2019,Fluminense,Fortaleza,0,0,-1,1.85,3.54,4.57,18,24,1.99479654747226,-6
365,Brazil,2019,12/5/2019,Sao Paulo,Internacional,2,1,1,2.23,2.95,3.96,21,15,1.6905933429811901,6
366,Brazil,2019,12/5/2019,Bahia,Vasco,1,1,-1,1.87,3.41,4.7,23,18,1.97620221948212,5
367,Brazil,2019,12/5/2019,Gremio,Cruzeiro,2,0,1,1.7,3.78,5.19,36,14,2.18709030100334,22
368,Brazil,2019,12/5/2019,Palmeiras,Goias,5,1,1,1.41,4.78,7.48,35,14,2.91634584013051,21
369,Brazil,2019,12/5/2019,Flamengo RJ,Avai,6,1,1,1.09,10.48,22.79,50,7,7.17881574992486,43
370,Brazil,2019,12/8/2019,Avai,Athletico-PR,0,0,-1,4.12,3.5,1.96,10,25,1.2564102564102602,-15
371,Brazil,2019,12/8/2019,Botafogo RJ,Ceara,1,1,-1,3.2,2.54,3.0,18,12,1.37545126353791,6
372,Brazil,2019,12/8/2019,Corinthians,Fluminense,1,2,-1,2.19,3.24,3.62,24,18,1.7097376093294498,6
373,Brazil,2019,12/8/2019,Cruzeiro,Palmeiras,0,2,-1,2.58,3.33,2.84,13,19,1.53277147487844,-6
374,Brazil,2019,12/8/2019,CSA,Sao Paulo,1,2,-1,3.53,3.36,2.18,16,14,1.32216606498195,2
375,Brazil,2019,12/8/2019,Fortaleza,Bahia,2,1,1,2.01,3.72,3.66,24,19,1.8448780487804899,5
376,Brazil,2019,12/8/2019,Goias,Gremio,3,2,1,2.06,3.62,3.59,28,24,1.8024687933425803,4
377,Brazil,2019,12/8/2019,Internacional,Atletico-MG,2,1,1,1.57,4.3,5.73,26,16,2.45653040877368,10
378,Brazil,2019,12/8/2019,Santos,Flamengo RJ,4,0,1,2.71,3.74,2.47,40,30,1.48756843800322,10
379,Brazil,2019,12/8/2019,Vasco,Chapecoense-SC,1,1,-1,1.4,4.58,8.62,19,14,2.9908787878787897,5
